기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740660,성내3동,CS200013,기타법무서비스,4,4,0,0,0,0,0
20261,11740660,성내3동,CS200012,법무사사무소,2,2,0,0,0,0,0
20261,11740660,성내3동,CS200009,동물병원,4,4,0,0,0,0,0
20261,11740660,성내3동,CS200008,한의원,25,25,0,0,0,4,1
20261,11740660,성내3동,CS200007,치과의원,23,23,0,4,1,4,1
20261,11740660,성내3동,CS200006,일반의원,60,60,0,3,2,0,0
20261,11740660,성내3동,CS200005,스포츠 강습,39,38,1,3,1,5,2
20261,11740660,성내3동,CS200003,예술학원,30,29,1,3,1,0,0
20261,11740660,성내3동,CS200002,외국어학원,7,6,1,0,0,0,0
20261,11740660,성내3동,CS200001,일반교습학원,105,99,6,2,2,3,3
20261,11740660,성내3동,CS100010,커피-음료,82,66,16,4,3,4,3
20261,11740660,성내3동,CS100009,호프-간이주점,55,51,4,0,0,4,2
20261,11740660,성내3동,CS100008,분식전문점,47,31,16,2,1,6,3
20261,11740660,성내3동,CS100007,치킨전문점,35,13,22,0,0,3,1
20261,11740660,성내3동,CS100006,패스트푸드점,25,11,14,0,0,0,0
20261,11740660,성내3동,CS100005,제과점,34,29,5,0,0,0,0
20261,11740660,성내3동,CS100004,양식음식점,26,24,2,0,0,0,0
20261,11740660,성내3동,CS100003,일식음식점,21,19,2,0,0,0,0
20261,11740660,성내3동,CS100002,중식음식점,13,12,1,0,0,0,0
20261,11740660,성내3동,CS100001,한식음식점,244,221,23,2,5,3,7
20261,11740650,성내2동,CS300043,전자상거래업,30,30,0,0,0,17,5
20261,11740650,성내2동,CS300042,주유소,4,4,0,0,0,0,0
20261,11740650,성내2동,CS300040,재생용품 판매점,3,3,0,0,0,0,0
20261,11740650,성내2동,CS300039,모터사이클및부품,2,2,0,0,0,0,0
20261,11740650,성내2동,CS300038,자동차부품,7,7,0,0,0,14,1
20261,11740650,성내2동,CS300036,조명용품,19,19,0,0,0,0,0
20261,11740650,성내2동,CS300035,인테리어,20,20,0,10,2,0,0
20261,11740650,성내2동,CS300034,악기,1,1,0,0,0,0,0
20261,11740650,성내2동,CS300033,철물점,10,10,0,0,0,0,0
20261,11740650,성내2동,CS300032,가전제품,4,4,0,0,0,0,0
20261,11740650,성내2동,CS300031,가구,9,9,0,11,1,0,0
20261,11740650,성내2동,CS300030,중고가구,1,1,0,0,0,0,0
20261,11740650,성내2동,CS300029,애완동물,8,8,0,13,1,0,0
20261,11740650,성내2동,CS300028,화초,26,26,0,8,2,0,0
20261,11740650,성내2동,CS300027,섬유제품,7,7,0,0,0,14,1
20261,11740650,성내2동,CS300026,완구,3,3,0,0,0,0,0
20261,11740650,성내2동,CS300025,자전거 및 기타운송장비,3,3,0,0,0,0,0
20261,11740650,성내2동,CS300024,운동/경기용품,3,3,0,0,0,0,0
